Marka,Yil,Kilometre,Talep_Skoru,Fiyat
Kia,2012.0,186000.0,70,540000.0
Kia,2019.0,62000.0,70,975000.0
Kia,2010.0,231000.0,70,495000.0
Kia,2023.0,38000.0,70,899000.0
Kia,2020.0,94000.0,70,960000.0
Kia,2005.0,236000.0,70,325000.0
Kia,2011.0,318000.0,70,445000.0
Kia,2016.0,178000.0,70,670000.0
Kia,2021.0,22000.0,70,1020000.0
Kia,2011.0,205000.0,70,425000.0
Kia,2004.0,232000.0,70,265000.0
Kia,2014.0,217000.0,70,610000.0
Kia,2016.0,225000.0,70,800000.0
Kia,2016.0,171000.0,70,810000.0
Kia,2006.0,249000.0,70,300000.0
Kia,2005.0,220000.0,70,320000.0
Kia,2012.0,221000.0,70,460000.0
Kia,2018.0,79000.0,70,850000.0
Kia,2023.0,40434.0,70,925000.0
Kia,2021.0,16995.0,70,865000.0
Kia,2017.0,193000.0,70,715000.0
Kia,2016.0,124000.0,70,900000.0
Kia,2017.0,193000.0,70,625000.0
Kia,2008.0,165000.0,70,370000.0
Kia,2012.0,187000.0,70,547000.0
Kia,2023.0,38900.0,70,829000.0
Kia,2010.0,150000.0,70,609900.0
Kia,2016.0,106000.0,70,695000.0
Kia,2023.0,29500.0,70,870000.0
Kia,2013.0,196000.0,70,797500.0
Kia,2011.0,229000.0,70,394000.0
Kia,2023.0,60000.0,70,1025000.0
Kia,2016.0,232000.0,70,850000.0
Kia,2013.0,58000.0,70,789000.0
Kia,2011.0,156000.0,70,582500.0
Kia,2010.0,215000.0,70,405000.0
Kia,2011.0,159000.0,70,559900.0
Kia,2011.0,252000.0,70,525000.0
Kia,2017.0,267000.0,70,795000.0
Kia,2013.0,302585.0,70,459900.0
Kia,2024.0,25000.0,70,1299999.0
Kia,2021.0,37066.0,70,830000.0
Kia,2010.0,158000.0,70,550000.0
Kia,2007.0,250000.0,70,410000.0
Kia,2013.0,269000.0,70,569000.0
Kia,2013.0,213000.0,70,565000.0
Hyundai,2012.0,101000.0,80,850000.0
Hyundai,2024.0,19000.0,80,1240000.0
Hyundai,2009.0,110000.0,80,637500.0
Hyundai,2010.0,58000.0,80,635000.0
Hyundai,2024.0,6001.0,80,1250000.0
Hyundai,2013.0,228170.0,80,672000.0
Hyundai,2012.0,145000.0,80,475000.0
Hyundai,2007.0,320000.0,80,335000.0
Hyundai,2018.0,68500.0,80,1285000.0
Hyundai,2011.0,287000.0,80,445000.0
Hyundai,2010.0,425000.0,80,325000.0
Hyundai,2015.0,104000.0,80,829000.0
Hyundai,2022.0,92000.0,80,945000.0
Hyundai,2017.0,94000.0,80,829500.0
Hyundai,2009.0,89000.0,80,638000.0
Hyundai,2021.0,39000.0,80,1129900.0
Hyundai,2017.0,228000.0,80,589000.0
Hyundai,1997.0,147000.0,80,275000.0
Hyundai,2012.0,174600.0,80,650000.0
Hyundai,2023.0,90000.0,80,954000.0
Hyundai,2006.0,205000.0,80,357750.0
Hyundai,2014.0,125000.0,80,760000.0
Hyundai,2010.0,181000.0,80,573000.0
Hyundai,1998.0,275000.0,80,244000.0
Hyundai,2023.0,52000.0,80,915000.0
Hyundai,2022.0,80000.0,80,1075000.0
Hyundai,2004.0,237000.0,80,335000.0
Hyundai,2010.0,179500.0,80,365000.0
Hyundai,2017.0,194000.0,80,779000.0
Hyundai,2004.0,152500.0,80,465000.0
